epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4448,2.11951,3.20167,1.71298,0.00299,0.89563,0.02208,0.00941,1.8805,3.59878,1.37293,0.000651852,0.000651852,0.000651852
2,44.6932,1.98302,2.07547,1.52146,0.68529,0.67419,0.71854,0.31179,1.99122,2.17685,1.61125,0.00129241,0.00129241,0.00129241
3,66.6062,1.95077,1.75021,1.5223,0.84161,0.65203,0.7687,0.33176,1.93468,1.73055,1.57886,0.00190657,0.00190657,0.00190657
4,86.9595,1.90112,1.51144,1.52002,0.83665,0.65726,0.76323,0.29928,2.07736,1.39667,1.64981,0.0018812,0.0018812,0.0018812
5,107.185,1.92989,1.38377,1.54901,0.70489,0.66706,0.66154,0.26696,1.98511,1.79456,1.66786,0.0018416,0.0018416,0.0018416
6,127.319,1.89541,1.27756,1.52864,0.83041,0.79972,0.83283,0.35096,1.9664,1.12192,1.65711,0.001802,0.001802,0.001802
7,147.588,1.88243,1.17581,1.49469,0.84918,0.81805,0.84697,0.37578,1.967,1.33995,1.57924,0.0017624,0.0017624,0.0017624
8,167.546,1.85453,1.14385,1.50322,0.84216,0.83639,0.87052,0.38383,1.91123,1.02286,1.53145,0.0017228,0.0017228,0.0017228
9,187.487,1.86719,1.10398,1.47374,0.88189,0.80395,0.85521,0.38341,1.90933,1.00099,1.5136,0.0016832,0.0016832,0.0016832
10,207.414,1.83614,1.07004,1.46368,0.8339,0.82139,0.85633,0.39014,1.89066,1.03617,1.55926,0.0016436,0.0016436,0.0016436
11,227.919,1.82971,1.05878,1.4713,0.87136,0.84203,0.87825,0.39695,1.87366,1.02065,1.55341,0.001604,0.001604,0.001604
12,247.982,1.85135,1.05623,1.46463,0.82966,0.82228,0.87858,0.40695,1.84208,1.00694,1.5211,0.0015644,0.0015644,0.0015644
13,268.131,1.81722,1.02924,1.49511,0.87746,0.80797,0.87516,0.41403,1.83391,0.96198,1.52103,0.0015248,0.0015248,0.0015248
14,288.673,1.84967,1.0168,1.47804,0.87313,0.86883,0.8847,0.39748,1.91551,0.94161,1.5915,0.0014852,0.0014852,0.0014852
15,308.85,1.80525,0.97383,1.45511,0.83546,0.83072,0.8633,0.39669,1.86976,0.96975,1.54964,0.0014456,0.0014456,0.0014456
16,329.164,1.81967,0.97949,1.45619,0.86835,0.87448,0.89305,0.4248,1.81783,0.88108,1.46496,0.001406,0.001406,0.001406
17,349.402,1.81574,0.96381,1.43794,0.896,0.86276,0.89432,0.41354,1.80796,0.9257,1.52711,0.0013664,0.0013664,0.0013664
18,369.737,1.7865,0.95924,1.44988,0.88811,0.86883,0.89768,0.42905,1.86689,0.88097,1.51549,0.0013268,0.0013268,0.0013268
19,392.061,1.75512,0.93058,1.4073,0.8674,0.85331,0.87855,0.42056,1.81924,0.9094,1.50829,0.0012872,0.0012872,0.0012872
20,413.926,1.77171,0.94257,1.43266,0.89283,0.81073,0.883,0.41991,1.78729,0.90875,1.49286,0.0012476,0.0012476,0.0012476
21,435.629,1.72979,0.91892,1.40504,0.85392,0.86037,0.89547,0.4265,1.80897,0.89849,1.47942,0.001208,0.001208,0.001208
22,456.81,1.7423,0.89705,1.38555,0.84701,0.86742,0.8887,0.44254,1.77936,0.88743,1.47477,0.0011684,0.0011684,0.0011684
23,477.308,1.7476,0.93522,1.42494,0.90411,0.87765,0.90487,0.42644,1.7885,0.86363,1.47453,0.0011288,0.0011288,0.0011288
24,497.363,1.74888,0.91854,1.38279,0.89032,0.85472,0.90748,0.44123,1.76364,0.88196,1.44886,0.0010892,0.0010892,0.0010892
25,517.676,1.70256,0.9017,1.37915,0.8636,0.84837,0.90622,0.45255,1.71128,0.86416,1.4289,0.0010496,0.0010496,0.0010496
26,537.76,1.69974,0.87479,1.36971,0.8931,0.8519,0.90102,0.43521,1.76212,0.84392,1.45665,0.00101,0.00101,0.00101
27,557.757,1.70137,0.87058,1.39986,0.88881,0.85896,0.9056,0.44727,1.72973,0.85247,1.45115,0.0009704,0.0009704,0.0009704
28,578.256,1.71517,0.88388,1.41488,0.90303,0.8538,0.91799,0.46494,1.70919,0.84801,1.42881,0.0009308,0.0009308,0.0009308
29,598.456,1.67753,0.86129,1.37235,0.89203,0.85062,0.91455,0.46334,1.71451,0.8345,1.4234,0.0008912,0.0008912,0.0008912
30,618.466,1.70275,0.84406,1.37197,0.86933,0.88204,0.91911,0.46738,1.70746,0.82246,1.43401,0.0008516,0.0008516,0.0008516
31,638.439,1.70818,0.86197,1.37574,0.89034,0.88178,0.92926,0.47356,1.70728,0.80221,1.40533,0.000812,0.000812,0.000812
32,658.511,1.68956,0.85434,1.37416,0.90169,0.85614,0.92785,0.4698,1.7058,0.81617,1.42909,0.0007724,0.0007724,0.0007724
33,678.628,1.70155,0.86615,1.36672,0.89911,0.87024,0.92162,0.46973,1.7274,0.8141,1.42501,0.0007328,0.0007328,0.0007328
34,698.678,1.63928,0.84233,1.34151,0.89901,0.89147,0.92077,0.4612,1.69462,0.83123,1.42598,0.0006932,0.0006932,0.0006932
35,718.65,1.67317,0.84175,1.37614,0.90362,0.85472,0.91514,0.47019,1.68604,0.80349,1.39383,0.0006536,0.0006536,0.0006536
36,739.21,1.67464,0.82566,1.35469,0.9246,0.81294,0.92354,0.48231,1.64798,0.79893,1.38567,0.000614,0.000614,0.000614
37,759.357,1.61781,0.79492,1.33865,0.8951,0.87165,0.92497,0.4835,1.64631,0.77468,1.38075,0.0005744,0.0005744,0.0005744
38,779.461,1.66005,0.83276,1.34948,0.89348,0.8914,0.93028,0.49029,1.65053,0.79113,1.37887,0.0005348,0.0005348,0.0005348
39,799.978,1.64353,0.82958,1.35382,0.88918,0.90268,0.9344,0.48715,1.62506,0.78745,1.37122,0.0004952,0.0004952,0.0004952
40,820.163,1.61673,0.8153,1.32902,0.87865,0.90832,0.93931,0.49175,1.6562,0.7829,1.37623,0.0004556,0.0004556,0.0004556
